p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
-652.62335,-1095.6837,283.0974,-1128.3615,-356.83426,1788.7936,31.686087,-488.4125
-648.9619,-1092.2672,280.87195,-1128.2837,-361.22357,1791.1943,26.0895,-490.49088
-645.3005,-1088.8507,278.64648,-1128.2059,-365.61288,1793.5951,20.492914,-492.56924
-641.63904,-1085.4342,276.42102,-1128.1282,-370.0022,1795.9958,14.896328,-494.6476
-637.9776,-1082.0177,274.19556,-1128.0504,-374.3915,1798.3966,9.299742,-496.72598
-634.31616,-1078.6012,271.9701,-1127.9727,-378.78082,1800.7974,3.703156,-498.80435
-630.6547,-1075.1847,269.74463,-1127.8949,-383.17014,1803.1981,-1.8934298,-500.88272
-626.9933,-1071.7682,267.51917,-1127.8171,-387.55945,1805.5989,-7.4900155,-502.9611
-623.33185,-1068.3517,265.2937,-1127.7394,-391.94876,1807.9996,-13.086601,-505.03946
-619.6704,-1064.9352,263.06824,-1127.6616,-396.33807,1810.4004,-18.683187,-507.11783
-616.009,-1061.5187,260.84277,-1127.5839,-400.7274,1812.8011,-24.279774,-509.1962
-612.34753,-1058.1022,258.6173,-1127.5061,-405.1167,1815.2019,-29.87636,-511.27457
-608.6861,-1054.6857,256.39185,-1127.4283,-409.506,1817.6027,-35.472946,-513.35297
-605.02466,-1051.2692,254.16638,-1127.3506,-413.89532,1820.0034,-41.06953,-515.43134
-601.3632,-1047.8527,251.94092,-1127.2728,-418.28464,1822.4042,-46.666115,-517.5097
-597.7018,-1044.4362,249.71545,-1127.1951,-422.67395,1824.8049,-52.2627,-519.5881
-594.04034,-1041.0197,247.48999,-1127.1173,-427.06326,1827.2057,-57.859283,-521.66644
-590.3789,-1037.6031,245.26453,-1127.0396,-431.45258,1829.6064,-63.455868,-523.7448
-586.71747,-1034.1866,243.03906,-1126.9618,-435.8419,1832.0072,-69.05245,-525.8232
-583.056,-1030.7701,240.8136,-1126.884,-440.2312,1834.408,-74.64904,-527.90155
-579.3946,-1027.3536,238.58813,-1126.8063,-444.6205,1836.8087,-80.24563,-529.9799
-575.73315,-1023.9371,236.36267,-1126.7285,-449.00983,1839.2095,-85.84222,-532.0583
-572.0717,-1020.5205,234.1372,-1126.6508,-453.39914,1841.6102,-91.438805,-534.13666
